A group of kids is fighting in a yard and an old kid is walking in the background	A group of boys in a yard is fighting and a kid is walking in the background	4.5133333333
A group of children is abusing in the house and there is no guy sprinting in the background	A group of kids is abusing in a yard and an old guy is sprinting in the background	3.200004
The young boys are jumping outdoors and the child is smiling nearby	The kids are jumping outdoors near a child with a smile	4.660004
The young boys are kickboxing outdoors and the gentleman is smiling nearby	There is no boy kickboxing outdoors and there is no gentleman smiling	3.62
The men are punching outdoors near a guy with a smile	A group of men is punching in a yard and an old guy is standing in the background	3.44
There is no boy fighting outdoors and there is no gentleman smiling	A group of kids is fighting in a yard and an old gentleman is standing in the background	3.2733333333
A group of men in a yard is kickboxing and a guy is standing in the background	The young men are kickboxing outdoors and the guy is smiling nearby	3.640004
A group of children is kickboxing in the house and there is no boy standing in the background	The young boys are kickboxing outdoors and the boy is smiling nearby	2.9733333333
The young boys are fighting outdoors and the gentleman is smiling nearby	A group of kids is fighting in a yard and an old gentleman is standing in the background	3.7533333333
A blue lion is attacking another animal in front of the tall kid in costumes	A blue lion is attacking another animal in front of the kid in costumes	4.8133333333
A green jaguar is attacking another animal in front of the son in sweatshirt	A green jaguar is helping another animal in front of the son in sweatshirt	3.6516666667
Seventeen dogs are fighting	Seventeen dogs are wrestling and hugging	4.000004
A brown wolf is attacking another animal in front of the man in pants	There is no wolf wrestling and hugging	2.66
A person in a grey pants is doing tricks on a car	A man in a grey pants is doing tricks on a car	4.9666666667
There is no man in a pink pants doing tricks on a bus	A person in a pink pants is doing tricks on a bus	3.5733333333
A gal in a silver pant is doing tricks on a motorcycle	A gal on a silver motorcycle is doing tricks with a pant	3.0266666667
A skilled son is riding a sedan on few wheel	A son is riding the sedan on few wheel	4.2866666667
Nobody is riding the truck on three wheel	A person is riding the truck on three wheel	4.0466666667
A gal in a black jacket is doing tricks on a motorbike	A skilled gal is riding a bicycle on one wheel	3.400004
A man on a black motorbike is doing tricks with a jacket	A man is riding the bicycle on one wheel	3.4133333333
A man is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	3.300004
A person with a pantaloons is dunking the baseball at a basketbaseball game	The baseball is being dunked by a person with a pantaloons at a basketbaseball game	4.9933333333
A boy with a jersey is dunking the baseball at a basketbaseball game	There is no boy dunking the baseball at a basketbaseball game	4.0533333333
